pdf_file,pdf_path,text_file,text_path,pages,characters,words,extraction_status,extraction_error
2024_10_860_892_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_860_892_EN.pdf,2024_10_860_892.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_860_892.txt,,,,Already Exists,
2024_10_893_900_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_893_900_EN.pdf,2024_10_893_900.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_893_900.txt,,,,Already Exists,
2024_10_901_910_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_901_910_EN.pdf,2024_10_901_910.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_901_910.txt,,,,Already Exists,
2024_10_911_919_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_911_919_EN.pdf,2024_10_911_919.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_911_919.txt,,,,Already Exists,
2024_10_920_929_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_920_929_EN.pdf,2024_10_920_929.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_920_929.txt,,,,Already Exists,
2024_10_930_938_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_930_938_EN.pdf,2024_10_930_938.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_930_938.txt,,,,Already Exists,
2024_10_939_951_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_939_951_EN.pdf,2024_10_939_951.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_939_951.txt,,,,Already Exists,
2024_10_952_960_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_952_960_EN.pdf,2024_10_952_960.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_952_960.txt,,,,Already Exists,
2024_10_961_1312_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_961_1312_EN.pdf,2024_10_961_1312.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_961_1312.txt,,,,Already Exists,
2024_10_98_107_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_98_107_EN.pdf,2024_10_98_107.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_98_107.txt,,,,Already Exists,
